query,chapter,chapterid,relevance
Who were the kings of Israel and were they faithful to God?,Revelation 19,1186,4
Who were the kings of Israel and were they faithful to God?,2 Chronicles 18,385,4
Who were the kings of Israel and were they faithful to God?,2 Chronicles 24,391,5
Who were the kings of Israel and were they faithful to God?,2 Chronicles 33,400,5
Who were the kings of Israel and were they faithful to God?,Psalms 78,556,3
Who were the kings of Israel and were they faithful to God?,Matthew 1,930,3
Who were the kings of Israel and were they faithful to God?,Luke 1,974,3
Who were the kings of Israel and were they faithful to God?,Judges 2,213,2
Who were the kings of Israel and were they faithful to God?,Psalms 45,523,4
Who were the kings of Israel and were they faithful to God?,Isaiah 37,716,4
Who were the kings of Israel and were they faithful to God?,1 Samuel 7,243,2
Who were the kings of Israel and were they faithful to God?,Psalms 89,567,2
Who were the kings of Israel and were they faithful to God?,Isaiah 10,689,2
Who were the kings of Israel and were they faithful to God?,Jeremiah 22,767,2
