query,chapter,chapterid,relevance
"If God is merciful and kind, why do people still suffer in this world?",Mark 4,961,4
"If God is merciful and kind, why do people still suffer in this world?",John 11,1008,5
"If God is merciful and kind, why do people still suffer in this world?",Acts 7,1025,4
"If God is merciful and kind, why do people still suffer in this world?",Romans 1,1047,4
"If God is merciful and kind, why do people still suffer in this world?",1 Corinthians 10,1072,3
"If God is merciful and kind, why do people still suffer in this world?",2 Corinthians 11,1089,5
"If God is merciful and kind, why do people still suffer in this world?",Galatians 6,1097,4
"If God is merciful and kind, why do people still suffer in this world?",Philippians 1,1104,4
"If God is merciful and kind, why do people still suffer in this world?",Hebrews 11,1144,5
"If God is merciful and kind, why do people still suffer in this world?",James 5,1151,5
"If God is merciful and kind, why do people still suffer in this world?",Revelation 6,1173,2
"If God is merciful and kind, why do people still suffer in this world?",Genesis 22,22,2
"If God is merciful and kind, why do people still suffer in this world?",Exodus 17,67,3
"If God is merciful and kind, why do people still suffer in this world?",Psalms 37,515,3
"If God is merciful and kind, why do people still suffer in this world?",Jeremiah 18,763,3
"If God is merciful and kind, why do people still suffer in this world?",Ecclesiastes 3,662,3
"If God is merciful and kind, why do people still suffer in this world?",Matthew 13,942,2
"If God is merciful and kind, why do people still suffer in this world?",Luke 13,986,2
"If God is merciful and kind, why do people still suffer in this world?",Acts 12,1030,2
"If God is merciful and kind, why do people still suffer in this world?",1 Corinthians 13,1075,1
"If God is merciful and kind, why do people still suffer in this world?",2 Corinthians 6,1084,3
"If God is merciful and kind, why do people still suffer in this world?",Revelation 22,1189,4
"If God is merciful and kind, why do people still suffer in this world?",Exodus 16,66,2
"If God is merciful and kind, why do people still suffer in this world?",Psalms 30,508,2
"If God is merciful and kind, why do people still suffer in this world?",Psalms 55,533,2
"If God is merciful and kind, why do people still suffer in this world?",Proverbs 3,631,1
"If God is merciful and kind, why do people still suffer in this world?",Isaiah 49,728,2
"If God is merciful and kind, why do people still suffer in this world?",Hosea 6,868,2
"If God is merciful and kind, why do people still suffer in this world?",Luke 15,988,4
"If God is merciful and kind, why do people still suffer in this world?",John 21,1018,2
"If God is merciful and kind, why do people still suffer in this world?",Acts 9,1027,2
"If God is merciful and kind, why do people still suffer in this world?",Revelation 20,1187,3
